Date,Price
2021-06-13,35666.14977877309
2021-06-14,39147.70567879997
2021-06-15,40624.51305316154
2021-06-16,40378.20254971114
2021-06-17,38321.454656574206
2021-06-18,38193.619141943964
2021-06-19,35881.11137137543
2021-06-20,35581.64226773201
2021-06-21,35787.07740523232
2021-06-22,31711.935467727006
2021-06-23,32507.738707026845
2021-06-24,33702.61779371396
2021-06-25,34675.44910530336
2021-06-26,31943.136467863093
2021-06-27,32023.973901774916
2021-06-28,34607.293274083386
2021-06-29,34556.8421269449
2021-06-30,35968.993667970346
2021-07-01,35171.486304850056
2021-07-02,33677.566235922626
2021-07-03,33950.786555181
2021-07-04,34729.89077801021
2021-07-05,35394.213074080915
2021-07-06,33928.13421837147
2021-07-07,34149.98981477412
2021-07-08,33932.25463831538
2021-07-09,32933.578199292395
2021-07-10,33971.297749757956
2021-07-11,33704.53847440508
2021-07-12,34299.938016517444
2021-07-13,33262.6543524462
2021-07-14,32676.38380096018
2021-07-15,32878.50187357147
2021-07-16,31726.038833909817
2021-07-17,31399.653128682126
2021-07-18,31588.6713510167
2021-07-19,31919.393922554555
2021-07-20,30928.211908849244
2021-07-21,29971.903783612062
2021-07-22,32383.78112696872
2021-07-23,32409.499767175417
2021-07-24,33455.55127272261
2021-07-25,34213.59993217662
2021-07-26,35456.124660766836
2021-07-27,37281.91809217662
2021-07-28,39076.59377063225
2021-07-29,40031.19824444798
2021-07-30,39977.75693922764
2021-07-31,41936.261478677225
2021-08-01,41754.16660435275
